fishId,fishNo,balance_before,balance_after,difference,elapsed_seconds
945,1,1629799.68,1629799.68,0.00,189
947,1,1629799.68,1629799.68,0.00,189
948,1,1629799.68,1629799.68,0.00,190
949,1,1629799.68,1629799.68,0.00,190
951,1,1629799.68,1629799.68,0.00,191
953,1,1629799.68,1629799.68,0.00,191
955,1,1629799.68,1629799.68,0.00,192
970,1,1629799.68,1631099.68,1300.00,192
971,1,1631099.68,1631099.68,0.00,193
972,1,1631099.68,1630899.68,-200.00,193
973,1,1630899.68,1630899.68,0.00,194
974,1,1630899.68,1630899.68,0.00,195
975,1,1630899.68,1630899.68,0.00,195
985,1,1630899.68,1630399.68,-500.00,196
987,1,1630399.68,1630399.68,0.00,196
990,1,1630399.68,1630399.68,0.00,197
991,1,1630399.68,1630399.68,0.00,197
993,1,1630399.68,1630399.68,0.00,198
997,1,1630399.68,1629999.68,-400.00,198
1002,1,1629999.68,1629999.68,0.00,199
1034,1,1629999.68,1629999.68,0.00,199
1036,1,1629999.68,1629999.68,0.00,200
1042,1,1629999.68,1629999.68,0.00,200
1044,1,1629999.68,1629999.68,0.00,201
1046,1,1631099.68,1631099.68,0.00,202
1048,1,1631099.68,1631099.68,0.00,202
1050,1,1631099.68,1631099.68,0.00,203
1054,1,1631199.68,1631199.68,0.00,203
1055,1,1631199.68,1632299.68,1100.00,204
1056,1,1632299.68,1632299.68,0.00,204
1057,1,1632299.68,1632299.68,0.00,205
1060,1,1632299.68,1632299.68,0.00,205
1062,1,1632299.68,1632299.68,0.00,206
1067,1,1632299.68,1632299.68,0.00,207
1068,1,1632299.68,1632299.68,0.00,207
1069,1,1632299.68,1632299.68,0.00,208
1070,1,1632299.68,1632299.68,0.00,208
1071,1,1632299.68,1632299.68,0.00,209
1073,1,1632299.68,1632099.68,-200.00,209
1076,1,1632099.68,1632099.68,0.00,210
1078,1,1632099.68,1631899.68,-200.00,210
1080,1,1631899.68,1631899.68,0.00,211
1082,1,1631899.68,1631899.68,0.00,211
1087,1,1631899.68,1631899.68,0.00,212
1088,1,1631899.68,1631499.68,-400.00,213
1089,1,1631499.68,1631499.68,0.00,214
1090,1,1631499.68,1631499.68,0.00,214
1091,1,1631499.68,1631499.68,0.00,215
1093,1,1631099.68,1631099.68,0.00,215
1095,1,1631099.68,1631099.68,0.00,216
1096,1,1631099.68,1630899.68,-200.00,216
1097,1,1630899.68,1630899.68,0.00,217
1098,1,1630899.68,1630899.68,0.00,217
1099,1,1630899.68,1630899.68,0.00,218
1105,1,1630899.68,1630899.68,0.00,219
1106,1,1630899.68,1630899.68,0.00,219
1107,1,1630899.68,1630899.68,0.00,220
1108,1,1630899.68,1630899.68,0.00,220
1109,1,1630899.68,1630899.68,0.00,221
1111,1,1630899.68,1630899.68,0.00,221
1113,1,1630799.68,1630799.68,0.00,222
1114,1,1630799.68,1630799.68,0.00,222
1115,1,1630799.68,1630799.68,0.00,223
1121,1,1630799.68,1630799.68,0.00,223
1127,1,1630599.68,1630599.68,0.00,224
1132,1,1630599.68,1630599.68,0.00,224
1143,1,1630599.68,1630599.68,0.00,225
1144,1,1630599.68,1630599.68,0.00,226
1145,1,1630599.68,1630699.68,100.00,226
1151,1,1630699.68,1630699.68,0.00,227
1152,1,1630699.68,1630699.68,0.00,227
1154,1,1630799.68,1630799.68,0.00,228
1179,1,1630799.68,1630799.68,0.00,228
1182,1,1630799.68,1630799.68,0.00,229
1189,1,1630799.68,1630799.68,0.00,229
1191,1,1630399.68,1630399.68,0.00,230
1194,1,1630399.68,1630399.68,0.00,230
1202,1,1630399.68,1630399.68,0.00,231
1210,1,1630399.68,1630399.68,0.00,232
1211,1,1630599.68,1630599.68,0.00,232
1212,1,1630599.68,1630599.68,0.00,233
1213,1,1630599.68,1630599.68,0.00,233
1214,1,1630599.68,1630599.68,0.00,234
1220,1,1630599.68,1630599.68,0.00,234
1221,1,1630599.68,1630099.68,-500.00,235
1222,1,1630099.68,1630099.68,0.00,235
1223,1,1630099.68,1630099.68,0.00,236
1224,1,1630099.68,1630099.68,0.00,236
1230,1,1629699.68,1629699.68,0.00,237
1232,1,1629699.68,1629699.68,0.00,238
1242,1,1629699.68,1629699.68,0.00,238
1249,1,1629699.68,1629699.68,0.00,239
1259,1,1629699.68,1629699.68,0.00,240
1261,1,1629699.68,1629699.68,0.00,240
1263,1,1629699.68,1629699.68,0.00,241
1265,1,1629699.68,1629299.68,-400.00,241
1267,1,1629299.68,1629299.68,0.00,242
1269,1,1629299.68,1629299.68,0.00,242
1270,1,1629299.68,1629299.68,0.00,243
1271,1,1629299.68,1629099.68,-200.00,243
1272,1,1629099.68,1629099.68,0.00,244
1279,1,1629099.68,1629099.68,0.00,244
1296,1,1629099.68,1629099.68,0.00,245
1300,1,1628699.68,1628699.68,0.00,245
1301,1,1628699.68,1628699.68,0.00,246
1302,1,1628699.68,1628699.68,0.00,247
1304,1,1628899.68,1628899.68,0.00,247
1307,1,1628899.68,1628899.68,0.00,248
1308,1,1628899.68,1628899.68,0.00,248
1313,1,1628899.68,1628899.68,0.00,249
1314,1,1628699.68,1628699.68,0.00,249
1315,1,1628699.68,1628699.68,0.00,250
1316,1,1628699.68,1628699.68,0.00,250
1326,1,1628699.68,1628699.68,0.00,251
1327,1,1628699.68,1628699.68,0.00,251
1328,1,1628699.68,1628699.68,0.00,252
1329,1,1628699.68,1628699.68,0.00,253
1330,1,1628699.68,1628699.68,0.00,253
1332,1,1628199.68,1628199.68,0.00,254
1333,1,1628199.68,1628199.68,0.00,254
1334,1,1628199.68,1628199.68,0.00,255
1335,1,1628199.68,1628199.68,0.00,255
1336,1,1628199.68,1627799.68,-400.00,256
1337,1,1627799.68,1627799.68,0.00,256
1338,1,1627799.68,1627799.68,0.00,257
1339,1,1627499.68,1627499.68,0.00,257
1347,1,1627499.68,1627499.68,0.00,258
1355,1,1627499.68,1627499.68,0.00,258
1358,1,1627499.68,1627499.68,0.00,259
1361,1,1627499.68,1627499.68,0.00,259
1367,1,1627399.68,1627399.68,0.00,260
1371,1,1627399.68,1627399.68,0.00,261
1383,1,1627399.68,1627399.68,0.00,261
1422,1,1627399.68,1627399.68,0.00,262
